Müdigkeit:
11-22 16:35:57.486   818-7625      C02564/vibrato..._vibrator_dal  vibrator_host         I     WaitForEffect, real time = 38, need Time = 50
11-22 16:35:57.503   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.4430
11-22 16:35:57.503   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.4320
11-22 16:35:57.503   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.2849
11-22 16:35:57.519   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.5410
11-22 16:35:57.519   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.6677
11-22 16:35:57.519   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 3.2754
11-22 16:35:57.519   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.5058
11-22 16:35:57.519   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.1857
11-22 16:35:57.520   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.2370
11-22 16:35:57.532   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.4528
11-22 16:35:57.533   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.2264
11-22 16:35:57.533   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.1771
11-22 16:35:57.552   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.1978
11-22 16:35:57.552   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.0793
11-22 16:35:57.552   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.6867
11-22 16:35:57.571   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.0183
11-22 16:35:57.572   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: 0.2248
11-22 16:35:57.572   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: 0.2138
11-22 16:35:57.582   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.3155
11-22 16:35:57.582   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.6481
11-22 16:35:57.582   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.9515
11-22 16:35:57.591   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.4135
11-22 16:35:57.591   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.8341
11-22 16:35:57.591   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.2258
11-22 16:35:57.620   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -6.2272
11-22 16:35:57.620   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.7167
11-22 16:35:57.620   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 1.7848
11-22 16:35:57.622   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.2749
11-22 16:35:57.622   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.1429
11-22 16:35:57.622   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.0599
11-22 16:35:57.633   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.8350
11-22 16:35:57.634   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -3.5794
11-22 16:35:57.634   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.6380
11-22 16:35:57.650   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.6192
11-22 16:35:57.650   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Y: -2.3634
11-22 16:35:57.650   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_Z: 2.0104
11-22 16:35:57.656   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_X: -0.2749
11-22 16:35:57.656   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Y: -0.3445
11-22 16:35:57.656   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Gyr_Z: -0.2847
11-22 16:35:57.667   3879-3879     A00000/com.exa...lse/HACKATHON  com.example.pulse     I     Real_Acc_X: -5.9624
